algo,nodes,flows,pps,coverage_m,throughput_mbps,delay_ms,pdr,drop_ratio,energy_j
paper,20,30,300,750,0.422373,141.645,0.839403,0.137893,1106.71
proposed,20,30,300,750,0.435397,148.147,0.839767,0.132465,1107.52
paper,40,30,300,750,0.386995,198.754,0.779247,0.194569,2188.15
proposed,40,30,300,750,0.402696,189.989,0.782635,0.190259,2189.05
paper,60,30,300,750,0.377895,247.167,0.76215,0.212949,3274.99
proposed,60,30,300,750,0.384146,237.905,0.76128,0.221427,3276.91
paper,80,30,300,750,0.362038,258.821,0.737144,0.249302,4361.57
proposed,80,30,300,750,0.337626,260.639,0.725327,0.260322,4363.75
paper,100,30,300,750,0.299042,321.415,0.648142,0.327984,5417.74
proposed,100,30,300,750,0.325359,300.819,0.658954,0.299239,5424.33
paper,60,10,300,750,0.395042,229.927,0.786626,0.190848,3272.58
proposed,60,10,300,750,0.380224,246.343,0.777476,0.198278,3268.44
paper,60,20,300,750,0.352544,234.27,0.744781,0.233916,3271.31
proposed,60,20,300,750,0.335731,254.526,0.738586,0.231877,3268.99
paper,60,30,300,750,0.377895,247.167,0.76215,0.212949,3274.99
proposed,60,30,300,750,0.384146,237.905,0.76128,0.221427,3276.91
paper,60,40,300,750,0.347885,262.569,0.718382,0.26123,3274.67
proposed,60,40,300,750,0.354517,247.128,0.720183,0.255538,3275.28
paper,60,50,300,750,0.319063,270.422,0.719232,0.253475,3268.52
proposed,60,50,300,750,0.302601,278.524,0.718405,0.254403,3265.82
paper,60,30,100,750,0.355139,229.991,0.793533,0.184817,3279.98
proposed,60,30,100,750,0.348283,246.302,0.766518,0.196161,3274.06
paper,60,30,200,750,0.329723,280.195,0.757249,0.215672,3268.46
proposed,60,30,200,750,0.368164,245.868,0.808912,0.173193,3274.87
paper,60,30,300,750,0.377895,247.167,0.76215,0.212949,3274.99
proposed,60,30,300,750,0.384146,237.905,0.76128,0.221427,3276.91
paper,60,30,400,750,0.332225,261.248,0.765483,0.213689,3269.02
proposed,60,30,400,750,0.327714,256.501,0.755943,0.220748,3267.66
paper,60,30,500,750,0.330497,269.217,0.727424,0.24841,3266.06
proposed,60,30,500,750,0.344132,253.352,0.738311,0.232124,3268.14
paper,60,30,300,250,0.555082,196.41,0.828741,0.162441,3299.18
proposed,60,30,300,250,0.58867,185.468,0.84704,0.141094,3301.32
paper,60,30,300,500,0.439594,220.624,0.792641,0.18623,3291.98
proposed,60,30,300,500,0.44917,201.643,0.81084,0.168188,3291.01
paper,60,30,300,750,0.377895,247.167,0.76215,0.212949,3274.99
proposed,60,30,300,750,0.384146,237.905,0.76128,0.221427,3276.91
paper,60,30,300,1000,0.276476,301.522,0.730105,0.253262,3256.37
proposed,60,30,300,1000,0.255115,337.273,0.72524,0.237026,3248.48
paper,60,30,300,1250,0.232461,290.257,0.71733,0.256203,3219.27
proposed,60,30,300,1250,0.243393,296.907,0.710998,0.259228,3230.95
