seq,inc_gamma_paper,inc_gamma_prop,dec_gamma_paper,dec_gamma_prop
1,200.00,204.39,198.56,199.51
2,154.75,152.83,149.50,148.96
3,113.64,110.12,115.76,114.12
4,83.83,80.26,87.49,86.25
5,63.53,58.05,219.60,217.74
6,50.07,44.51,263.15,263.15
7,38.73,36.96,190.89,190.03
8,28.76,28.88,157.30,154.85
9,20.76,19.02,158.12,155.54
10,16.63,11.18,107.23,104.96
11,3.88,0.28,129.57,129.57
12,6.68,3.48,88.80,87.24
13,1.66,0.94,252.78,252.84
14,22.50,22.50,380.53,377.29
15,51.93,51.50,399.52,396.26
16,122.45,121.44,404.55,403.13
17,66.01,66.84,390.46,385.25
18,112.20,114.41,365.91,364.50
19,48.68,48.68,342.18,342.62
20,38.86,38.23,308.43,307.02
21,53.97,53.43,284.94,281.62
